Column,Data_Type
mcrh_SMA_5_ti_h20,int64
mcrh_T3_5_DEMA_10,int64
mcrh_T3_5_EMA_10,int64
mcrh_T3_5_KAMA_10,int64
mcrh_T3_5_SMA_10,int64
mcrh_T3_5_T3_10,int64
mcrh_T3_5_TEMA_10,int64
mcrh_T3_5_TRIMA_10,int64
mcrh_T3_5_WMA_10,int64
mcrh_T3_5_DEMA_20,int64
mcrh_T3_5_EMA_20,int64
mcrh_T3_5_KAMA_20,int64
mcrh_T3_5_SMA_20,int64
mcrh_T3_5_T3_20,int64
mcrh_T3_5_TEMA_20,int64
mcrh_T3_5_TRIMA_20,int64
mcrh_T3_5_WMA_20,int64
mcrh_T3_5_DEMA_50,int64
mcrh_T3_5_EMA_50,int64
mcrh_T3_5_KAMA_50,int64
mcrh_T3_5_SMA_50,int64
mcrh_T3_5_T3_50,int64
mcrh_T3_5_TEMA_50,int64
mcrh_T3_5_TRIMA_50,int64
mcrh_T3_5_WMA_50,int64
mcrh_T3_5_DEMA_100,int64
mcrh_T3_5_EMA_100,int64
mcrh_T3_5_KAMA_100,int64
mcrh_T3_5_SMA_100,int64
mcrh_T3_5_T3_100,int64
mcrh_T3_5_TEMA_100,int64
mcrh_T3_5_TRIMA_100,int64
mcrh_T3_5_WMA_100,int64
mcrh_T3_5_ti_h20,int64
mcrh_TEMA_5_DEMA_10,int64
mcrh_TEMA_5_EMA_10,int64
mcrh_TEMA_5_KAMA_10,int64
mcrh_TEMA_5_SMA_10,int64
mcrh_TEMA_5_T3_10,int64
mcrh_TEMA_5_TEMA_10,int64
mcrh_TEMA_5_TRIMA_10,int64
mcrh_TEMA_5_WMA_10,int64
mcrh_TEMA_5_DEMA_20,int64
mcrh_TEMA_5_EMA_20,int64
mcrh_TEMA_5_KAMA_20,int64
mcrh_TEMA_5_SMA_20,int64
mcrh_TEMA_5_T3_20,int64
mcrh_TEMA_5_TEMA_20,int64
mcrh_TEMA_5_TRIMA_20,int64
mcrh_TEMA_5_WMA_20,int64
mcrh_TEMA_5_DEMA_50,int64
mcrh_TEMA_5_EMA_50,int64
mcrh_TEMA_5_KAMA_50,int64
mcrh_TEMA_5_SMA_50,int64
mcrh_TEMA_5_T3_50,int64
mcrh_TEMA_5_TEMA_50,int64
mcrh_TEMA_5_TRIMA_50,int64
mcrh_TEMA_5_WMA_50,int64
mcrh_TEMA_5_DEMA_100,int64
mcrh_TEMA_5_EMA_100,int64
mcrh_TEMA_5_KAMA_100,int64
mcrh_TEMA_5_SMA_100,int64
mcrh_TEMA_5_T3_100,int64
mcrh_TEMA_5_TEMA_100,int64
mcrh_TEMA_5_TRIMA_100,int64
mcrh_TEMA_5_WMA_100,int64
mcrh_TEMA_5_ti_h20,int64
mcrh_TRIMA_5_DEMA_10,int64
mcrh_TRIMA_5_EMA_10,int64
mcrh_TRIMA_5_KAMA_10,int64
mcrh_TRIMA_5_SMA_10,int64
mcrh_TRIMA_5_T3_10,int64
mcrh_TRIMA_5_TEMA_10,int64
mcrh_TRIMA_5_TRIMA_10,int64
mcrh_TRIMA_5_WMA_10,int64
mcrh_TRIMA_5_DEMA_20,int64
mcrh_TRIMA_5_EMA_20,int64
mcrh_TRIMA_5_KAMA_20,int64
mcrh_TRIMA_5_SMA_20,int64
mcrh_TRIMA_5_T3_20,int64
mcrh_TRIMA_5_TEMA_20,int64
mcrh_TRIMA_5_TRIMA_20,int64
mcrh_TRIMA_5_WMA_20,int64
mcrh_TRIMA_5_DEMA_50,int64
mcrh_TRIMA_5_EMA_50,int64
mcrh_TRIMA_5_KAMA_50,int64
mcrh_TRIMA_5_SMA_50,int64
mcrh_TRIMA_5_T3_50,int64
mcrh_TRIMA_5_TEMA_50,int64
mcrh_TRIMA_5_TRIMA_50,int64
mcrh_TRIMA_5_WMA_50,int64
mcrh_TRIMA_5_DEMA_100,int64
mcrh_TRIMA_5_EMA_100,int64
mcrh_TRIMA_5_KAMA_100,int64
mcrh_TRIMA_5_SMA_100,int64
mcrh_TRIMA_5_T3_100,int64
mcrh_TRIMA_5_TEMA_100,int64
mcrh_TRIMA_5_TRIMA_100,int64
mcrh_TRIMA_5_WMA_100,int64
mcrh_TRIMA_5_ti_h20,int64
mcrh_WMA_5_DEMA_10,int64
mcrh_WMA_5_EMA_10,int64
mcrh_WMA_5_KAMA_10,int64
mcrh_WMA_5_SMA_10,int64
mcrh_WMA_5_T3_10,int64
mcrh_WMA_5_TEMA_10,int64
mcrh_WMA_5_TRIMA_10,int64
mcrh_WMA_5_WMA_10,int64
mcrh_WMA_5_DEMA_20,int64
mcrh_WMA_5_EMA_20,int64
mcrh_WMA_5_KAMA_20,int64
mcrh_WMA_5_SMA_20,int64
mcrh_WMA_5_T3_20,int64
mcrh_WMA_5_TEMA_20,int64
mcrh_WMA_5_TRIMA_20,int64
mcrh_WMA_5_WMA_20,int64
mcrh_WMA_5_DEMA_50,int64
mcrh_WMA_5_EMA_50,int64
mcrh_WMA_5_KAMA_50,int64
mcrh_WMA_5_SMA_50,int64
mcrh_WMA_5_T3_50,int64
mcrh_WMA_5_TEMA_50,int64
mcrh_WMA_5_TRIMA_50,int64
mcrh_WMA_5_WMA_50,int64
mcrh_WMA_5_DEMA_100,int64
mcrh_WMA_5_EMA_100,int64
mcrh_WMA_5_KAMA_100,int64
mcrh_WMA_5_SMA_100,int64
mcrh_WMA_5_T3_100,int64
mcrh_WMA_5_TEMA_100,int64
mcrh_WMA_5_TRIMA_100,int64
mcrh_WMA_5_WMA_100,int64
mcrh_WMA_5_ti_h20,int64
mcrh_DEMA_10_DEMA_20,int64
mcrh_DEMA_10_EMA_20,int64
mcrh_DEMA_10_KAMA_20,int64
mcrh_DEMA_10_SMA_20,int64
mcrh_DEMA_10_T3_20,int64
mcrh_DEMA_10_TEMA_20,int64
mcrh_DEMA_10_TRIMA_20,int64
mcrh_DEMA_10_WMA_20,int64
mcrh_DEMA_10_DEMA_50,int64
mcrh_DEMA_10_EMA_50,int64
mcrh_DEMA_10_KAMA_50,int64
mcrh_DEMA_10_SMA_50,int64
mcrh_DEMA_10_T3_50,int64
mcrh_DEMA_10_TEMA_50,int64
mcrh_DEMA_10_TRIMA_50,int64
mcrh_DEMA_10_WMA_50,int64
mcrh_DEMA_10_DEMA_100,int64
mcrh_DEMA_10_EMA_100,int64
mcrh_DEMA_10_KAMA_100,int64
mcrh_DEMA_10_SMA_100,int64
mcrh_DEMA_10_T3_100,int64
mcrh_DEMA_10_TEMA_100,int64
mcrh_DEMA_10_TRIMA_100,int64
mcrh_DEMA_10_WMA_100,int64
mcrh_DEMA_10_ti_h20,int64
mcrh_EMA_10_DEMA_20,int64
mcrh_EMA_10_EMA_20,int64
mcrh_EMA_10_KAMA_20,int64
mcrh_EMA_10_SMA_20,int64
mcrh_EMA_10_T3_20,int64
mcrh_EMA_10_TEMA_20,int64
mcrh_EMA_10_TRIMA_20,int64
mcrh_EMA_10_WMA_20,int64
mcrh_EMA_10_DEMA_50,int64
mcrh_EMA_10_EMA_50,int64
mcrh_EMA_10_KAMA_50,int64
mcrh_EMA_10_SMA_50,int64
mcrh_EMA_10_T3_50,int64
mcrh_EMA_10_TEMA_50,int64
mcrh_EMA_10_TRIMA_50,int64
mcrh_EMA_10_WMA_50,int64
mcrh_EMA_10_DEMA_100,int64
mcrh_EMA_10_EMA_100,int64
mcrh_EMA_10_KAMA_100,int64
mcrh_EMA_10_SMA_100,int64
mcrh_EMA_10_T3_100,int64
mcrh_EMA_10_TEMA_100,int64
mcrh_EMA_10_TRIMA_100,int64
mcrh_EMA_10_WMA_100,int64
mcrh_EMA_10_ti_h20,int64
mcrh_KAMA_10_DEMA_20,int64
