	acc_per	loss	epochs	df_test_%	positives	count	mean	std	min	25%	50%	60%	70%	75%	80%	85%	86%	87%	88%	89%	90%	91%	92%	93%	94%	95%	96%	97%	98%	max
TFm_UBER_pos_reg4_mult_28_per	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	8.7	10.87	12.73	15.66	18.84	20.0	26.19	28.21	25.0	26.47	29.03	32.14	36.0	36.36	40.0	47.06	35.71	41.67	33.33	33.33	-1.0
TFm_UBER_pos_reg4_mult_64	88.38	0.29	14.0	30.9	19.0	276.0	0.5457	0.2465	0.0245	0.349	0.556	0.6235	0.7058	0.7414	0.7785	0.8264	0.8327	0.8441	0.8655	0.8774	0.8904	0.9014	0.9078	0.9126	0.923	0.9306	0.9365	0.9472	0.9596	0.9986
TFm_UBER_pos_reg4_mult_64_per	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	8.7	11.59	13.64	15.66	18.84	19.64	21.43	23.08	25.0	24.24	25.81	28.57	32.0	34.78	40.0	41.18	50.0	58.33	55.56	66.67	-1.0
TFm_UBER_pos_reg4_mult_128	90.86	0.24	9.0	32.4	19.0	276.0	0.6116	0.1892	0.1754	0.4984	0.6194	0.6726	0.7225	0.7512	0.7864	0.8219	0.8251	0.831	0.8329	0.8503	0.8639	0.8726	0.8826	0.8905	0.8952	0.8994	0.9164	0.9268	0.932	0.9931
TFm_UBER_pos_reg4_mult_128_per	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	8.21	11.59	13.64	15.66	17.39	20.0	21.43	23.08	25.0	27.27	29.03	32.14	36.0	34.78	35.0	35.29	35.71	33.33	22.22	33.33	-1.0
TFm_UBER_pos_reg4_mult_conv2	79.31	0.44	8.0	32.6	19.0	276.0	0.6904	0.0161	0.6553	0.6799	0.6893	0.6938	0.6971	0.6987	0.7008	0.7051	0.7062	0.7069	0.7072	0.7083	0.7091	0.7099	0.7118	0.7134	0.7155	0.7174	0.7189	0.7214	0.7244	0.7763
TFm_UBER_pos_reg4_mult_conv2_per	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	8.7	10.87	12.61	16.87	15.71	17.54	21.43	23.08	25.0	27.27	29.03	32.14	36.0	36.36	35.0	41.18	50.0	50.0	55.56	50.0	-1.0
TFm_UBER_pos_reg4_mult_conv	95.37	0.16	18.0	28.5	19.0	276.0	0.7951	0.2586	0.0079	0.6798	0.9136	0.9496	0.9714	0.9795	0.9872	0.9938	0.9944	0.9952	0.9958	0.9965	0.9969	0.9971	0.9975	0.9978	0.998	0.9982	0.9987	0.999	0.9995	1.0
TFm_UBER_pos_reg4_mult_conv_per	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	8.7	11.59	13.64	16.87	18.84	16.67	19.05	20.51	22.22	24.24	25.0	25.0	28.0	31.82	36.84	43.75	50.0	63.64	75.0	85.71	-1.0
TFm_UBER_pos_reg4__simp_cordo	76.37	0.51	22.0	33.2	19.0	276.0	0.6731	0.2792	0.1247	0.5715	0.8133	0.8403	0.868	0.8782	0.8888	0.9012	0.9044	0.9087	0.9114	0.9131	0.9142	0.9156	0.9169	0.92	0.9223	0.9252	0.9264	0.9304	0.9312	0.9461
